Section-About-Author (SAA), About the Author
Section-Acknowledgments (SAK), Acknowledgments
Section-Ad-Card (SAC), Ad Card
Section-Afterword (SAW), Afterword
Section-Appendix (SAP), Appendix
Section-Back-Ad (SBA), Back Ad
Section-Back-Matter-General (SBM), Back Matter General
Section-Bibliography (SBI), Bibliography
Section-Book (BOOK), Book
Section-Chapter (SCP), Chapter
Section-Conclusion (SCL), Conclusion
Section-Contents (STC), Contents
Section-Copyright (SCR), Copyright
Section-Dedication (SDE), Dedication
Section-Ebook-Copyright (SECR), Ebook Copyright
Section-Epigraph (SEP), Epigraph
Section-Excerpt-Chapter (SEC), Excerpt Chapter
Section-Excerpt-Opener (SEO), Excerpt Opener
Section-Foreword (SFW), Foreword
Section-Front-Matter-General (SFM), Front Matter General
Section-Front-Sales (SFS), Front Sales
Section-Glossary (SGL), Glossary
Section-Halftitle (SHT), Halftitle Page
Section-Index (SIN), Index
Section-Interlude (SIN), Interlude
Section-Introduction (SIC), Introduction
Section-Notes (SNT), Notes
Section-Part (SPT), Part
Section-Preface (SPF), Preface
Section-Recipe (SREC), Recipe
Section-Series-Page (SSP), Series Page
Section-Titlepage (STI), Titlepage
